budget_year;budget_version;budget_date;customer_name;bu_code;bu_currency;sales_amount_bu_currency
2023;BV1;31/01/2023;AllCustomers;ADBU;EUR;77761806.3767995
2023;BV1;31/01/2023;AllCustomers;AEBU;AED;165037701.523201
2023;BV1;31/01/2023;AllCustomers;ATBU;EUR;25138799.8953
2023;BV1;31/01/2023;AllCustomers;AUBU;AUD;23477066.7733001
2023;BV1;31/01/2023;AllCustomers;BEBU;EUR;56992555.62
2023;BV1;31/01/2023;AllCustomers;BHBU;BHD;19060591.4673999
2023;BV1;31/01/2023;AllCustomers;BMBU;BMD;28025354.87
2023;BV1;31/01/2023;AllCustomers;CABU;CAD;61391541.4
2023;BV1;31/01/2023;AllCustomers;CHBU;CHF;55566935.3668
2023;BV1;31/01/2023;AllCustomers;CYBU;EUR;20464847.676
2023;BV1;31/01/2023;AllCustomers;CZBU;CZK;727201732.991999
2023;BV1;31/01/2023;AllCustomers;DEBU;EUR;18468897.72
2023;BV1;31/01/2023;AllCustomers;DKBU;DKK;350893990.106401
2023;BV1;31/01/2023;AllCustomers;EEBU;EUR;17434649.9054
2023;BV1;31/01/2023;AllCustomers;ESBU;EUR;42590427.607
2023;BV1;31/01/2023;AllCustomers;FIBU;EUR;17692752.5775
2023;BV1;31/01/2023;AllCustomers;FKBU;FKP;21566713.7128
2023;BV1;31/01/2023;AllCustomers;FOBU;DKK;193679989.2474
2023;BV1;31/01/2023;AllCustomers;FRBU;EUR;17800294.694
2023;BV1;31/01/2023;AllCustomers;GBBU;GBP;17145051.12
2023;BV1;31/01/2023;AllCustomers;GGBU;GBP;15665284.7823999
2023;BV1;31/01/2023;AllCustomers;GIBU;GIP;48843289.495
2023;BV1;31/01/2023;AllCustomers;GRBU;EUR;28475612.6382
2023;BV1;31/01/2023;AllCustomers;HKBU;HKD;229457284.8984
2023;BV1;31/01/2023;AllCustomers;HUBU;HUF;10096543486.3692
2023;BV1;31/01/2023;AllCustomers;IEBU;EUR;25615264.675
2023;BV1;31/01/2023;AllCustomers;ILBU;ILS;101598790.293
2023;BV1;31/01/2023;AllCustomers;IMBU;GBP;21095824.1848001
